Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,Sujiran Ssos,5,2026-04-01T07:03:58.755Z,Apotik dengan pelayanan nya yg responsif,apotik dengan pelayanan nya yg responsif,apotik dengan pelayanan nya yang responsif,apotik pelayanan responsif,Pelayanan,Positif,0.9909
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,Puja Paha Zeta-chan,5,2025-11-13T01:40:29.899Z,"Pelayanan di Apotek Kimia Farma sangat memuaskan. Apoteknya bersih, tertata rapi, dan petugasnya ramah serta informatif. Obat yang saya cari selalu tersedia dan harganya juga sesuai standar resmi. Sangat direkomendasikan bagi yang ingin mendapatkan pelayanan farmasi yang profesional dan terpercaya.",pelayanan di apotek kimia farma sangat memuaskan apoteknya bersih tertata rapi dan petugasnya ramah serta informatif obat yang saya cari selalu tersedia dan harganya juga sesuai standar resmi sangat direkomendasikan bagi yang ingin mendapatkan pelayanan farmasi yang profesional dan terpercaya,pelayanan di apotek kimia farma sangat memuaskan apoteknya bersih tertata rapi dan petugasnya ramah serta informatif obat yang saya cari selalu tersedia dan harganya juga sesuai standar resmi sangat direkomendasikan bagi yang ingin mendapatkan pelayanan farmasi yang profesional dan terpercaya,pelayanan apotek kimia farma memuaskan apoteknya bersih tertata rapi petugasnya ramah serta informatif obat cari selalu tersedia harganya sesuai standar resmi direkomendasikan bagi ingin mendapatkan pelayanan farmasi profesional terpercaya,Pelayanan,Positif,0.9921
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,rienz Rini,5,2025-11-11T14:54:15.820Z,salah satu apotek yang  lengkap di GKB Gresik.,salah satu apotek yang lengkap di gkb gresik,salah satu apotek yang lengkap di gkb gresik,salah satu apotek lengkap gkb gresik,Lainnya,Netral,0.9353
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,Chantika Kirana D.,5,2025-11-01T10:17:16.273Z,"petugas ramah dan saya merasa terbantu untuk mencari obat, selain itu pelayanan juga cepat",petugas ramah dan saya merasa terbantu untuk mencari obat selain itu pelayanan juga cepat,petugas ramah dan saya merasa terbantu untuk mencari obat selain itu pelayanan juga cepat,petugas ramah merasa terbantu mencari obat selain pelayanan cepat,Pelayanan,Positif,0.9821
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,LKSA Roudlotul Yatim,5,2025-09-23T11:45:58.706Z,Bagus dan Lengkap,bagus dan lengkap,bagus dan lengkap,bagus lengkap,Lainnya,Positif,0.996
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,muhammad nur,4,2025-05-14T13:41:18.090Z,Sederhana Krn dlm satu ruko..rapi..bersih..staffnya ramah n sangat membantu.,sederhana krn dlm satu ruko rapi bersih staffnya ramah n sangat membantu,sederhana karena dalam satu ruko rapi bersih staffnya ramah n sangat membantu,sederhana satu ruko rapi bersih staffnya ramah membantu,Pelayanan,Positif,0.9951
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,Basri _official,5,2025-04-07T15:26:20.275Z,Kimia Farma terbaik di daera Gresik kota,kimia farma terbaik di daera gresik kota,kimia farma terbaik di daera gresik kota,kimia farma terbaik daera gresik kota,Lainnya,Positif,0.9627
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,To Anto (anto),5,2025-04-07T08:36:21.588Z,Pelayanan ramah apotek bersih dan nyaman,pelayanan ramah apotek bersih dan nyaman,pelayanan ramah apotek bersih dan nyaman,pelayanan ramah apotek bersih nyaman,Pelayanan,Positif,0.9959
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,Nailil Hidayah,5,2025-03-28T06:25:00.119Z,"Apotek langganan, selain tempatnya yg nyaman, obat2an mesti lengkap jadi nggak perlu nyari2 ke apotek lain. Pelayanannya pun oke banget, ramah, cekatan, bisa konsultasi juga. ⭐⭐⭐⭐⭐",apotek langganan selain tempatnya yg nyaman obat2an mesti lengkap jadi nggak perlu nyari2 ke apotek lain pelayanannya pun oke banget ramah cekatan bisa konsultasi juga,apotek langganan selain tempatnya yang nyaman obat2an mesti lengkap jadi tidak perlu nyari2 ke apotek lain pelayanannya pun oke banget ramah cekatan bisa konsultasi juga,apotek langganan selain tempatnya nyaman obat2an mesti lengkap jadi perlu nyari2 apotek lain pelayanannya oke banget ramah cekatan konsultasi,Pelayanan,Positif,0.9965
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma GKB Gresik,4.7,45,lista ning,5,2025-03-24T12:46:28.645Z,Sangat puas dengn pelayanannya,sangat puas dengn pelayanannya,sangat puas dengn pelayanannya,puas dengn pelayanannya,Pelayanan,Positif,0.9965
